name,segment,offset,debug_type,file_offset,overlay_offset
_OS2GETDATE,0x0cdf,0x0094,0x0000,0x0d204,0x1bb78
ADCTAB,0x10ec,0x6e2d,0x0085,0x1806d,0x1bbb0
ADDEDSYMBOL,0x10ec,0x0f7a,0x0085,0x121ba,0x1bbbf
ANDTAB,0x10ec,0x6e5b,0x0085,0x1809b,0x1bc20
ANGLEBRAC,0x020b,0x0e42,0x002b,0x03272,0x1bc2c
ANSIFLAG,0x10ec,0x13e8,0x0084,0x12628,0x1bc4c
APR,0x10ec,0x8cc3,0x0084,0x19f03,0x1bc5d
ASLTAB,0x10ec,0x6e89,0x0085,0x180c9,0x1bc69
ATLINE,0x10ec,0x89a9,0x0084,0x19be9,0x1bc9d
AUG,0x10ec,0x8cd7,0x0084,0x19f17,0x1bcac
BADSIZELWDN,0x0a0b,0x1042,0x0080,0x0b472,0x1bd92
BHOK1,0x0f0b,0x0a52,0x008c,0x0fe82,0x1bde6
BHOK2,0x030b,0x0a31,0x008c,0x03e61,0x1bdf1
BINL100000000,0x020b,0x1230,0x008d,0x03660,0x1bf60
BINLDIGIT2,0x0a0b,0x0f31,0x008d,0x0b361,0x1bff6
BINTABLE,0x10ec,0x75a3,0x0084,0x187e3,0x1c045
BITTAB,0x10ec,0x6eb7,0x0085,0x180f7,0x1c056
BSCHAR,0x10ec,0x0202,0x0084,0x11442,0x1c071
BTAB,0x10ec,0x66f7,0x0085,0x17937,0x1c08f
CALCLENLASTBLK,0x010b,0x134e,0x0053,0x0277e,0x1c11f
CALCMUL,0x050b,0x0c44,0x0017,0x06074,0x1c15c
CALCROMPOS,0x140b,0x0f52,0x0053,0x15382,0x1c18f
CALCSHIFTL,0x190b,0x0f53,0x0016,0x1a383,0x1c19f
CANTFINDFL,0x10ec,0x0acd,0x0084,0x11d0d,0x1c1eb
CHECKMACRO,0x10ec,0x0aaa,0x0084,0x11cea,0x1c26d
CHKDREG,0x0e0b,0x0c4f,0x00cb,0x0f07f,0x1c27d
CHKLP,0x170b,0x0a32,0x0051,0x17e62,0x1c2b1
CLIPTR,0x10ec,0x9bde,0x0085,0x1ae1e,0x1c2fa
CLOSEBRAC,0x10ec,0x899f,0x0084,0x19bdf,0x1c316
CMPTAB,0x10ec,0x6ee5,0x0085,0x18125,0x1c34e
CPXTAB,0x10ec,0x6f13,0x0085,0x18153,0x1c44a
CPYTAB,0x10ec,0x6f41,0x0085,0x18181,0x1c459
CRTXT,0x10ec,0x2552,0x0084,0x13792,0x1c468
